Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,32.09375,32.09375,30.34375,31.625,25.041388,14356400
2000-01-04,30.4375,31.3125,30.0,30.0625,23.804163,22822400
2000-01-05,29.515625,30.046875,28.40625,28.9375,22.913363,27791200
2000-01-06,28.5625,29.71875,28.0625,28.984375,22.950485,22438000
2000-01-07,28.1875,29.265625,27.75,29.234375,23.148445000000002,37732400
2000-01-10,29.78125,31.796875,29.625,31.59375,25.016647,30214400
2000-01-11,30.9375,32.421875,30.046875,30.203125,23.915512,27264000
2000-01-12,30.5,31.8125,29.46875,31.765625,25.152742,30550400
2000-01-13,30.90625,31.875,29.90625,31.125,24.645468,44196400
2000-01-14,32.453125,34.75,32.375,33.90625,26.847727000000003,61415200
2000-01-18,33.46875,34.4375,33.03125,33.78125,26.748755,27733600
2000-01-19,33.875,35.8125,33.5625,35.59375,28.183928,29092400
2000-01-20,35.96875,36.34375,34.65625,35.0,27.713793,28180000
2000-01-21,35.40625,35.6875,34.453125,35.3125,27.961237,30846000
2000-01-24,35.078125,36.65625,35.0625,35.125,27.812763,25352800
2000-01-25,35.359375,36.328125,33.8125,36.109375,28.592221999999996,32854800
2000-01-26,36.015625,36.109375,33.515625,33.578125,26.587916999999997,27227600
2000-01-27,34.296875,35.078125,33.34375,33.875,26.822983,26986000
2000-01-28,33.65625,34.59375,32.140625,32.4375,25.684746,31494800
2000-01-31,32.171875,34.390625,32.0625,34.3125,27.169409,30351200
2000-02-01,33.4375,35.34375,33.3125,35.125,27.812763,22794800
2000-02-02,35.015625,36.78125,34.90625,35.953125,28.468490999999997,27897200
2000-02-03,36.234375,37.5,36.234375,37.125,29.396414,23597200
2000-02-04,37.40625,37.71875,36.21875,36.34375,28.777804999999997,18998000
2000-02-07,36.375,38.546875,36.0,38.40625,30.410934,21438000
2000-02-08,38.6875,40.375,38.125,40.28125,31.895601,37100400
2000-02-09,39.796875,42.140625,39.78125,40.933575,32.412136,37757200
2000-02-10,40.9375,43.6875,40.3125,43.6875,34.592743,27658800
2000-02-11,43.21875,43.578125,40.875,41.25,32.662693,33136400
2000-02-14,41.90625,42.40625,39.9375,40.265625,31.883228000000003,30705200
2000-02-15,40.96875,42.3125,39.953125,41.625,32.959618,41104800
2000-02-16,43.75,44.4375,42.875,43.34375,34.320557,50966000
2000-02-17,43.515625,47.234375,42.46875,47.09375,37.289906,47536400
2000-02-18,47.078125,47.4375,44.25,44.4375,35.186623,35272800
2000-02-22,44.09375,46.0,43.359375,44.6992,35.393837,30175600
2000-02-23,44.625,46.0625,44.40625,45.25,35.829975,23998000
2000-02-24,45.0625,46.6875,44.6875,45.875,36.324852,27143200
2000-02-25,45.921875,46.34375,42.75,43.078125,34.110226000000004,26224800
2000-02-28,43.4375,44.8125,41.78125,44.21875,35.013401,34048000
2000-02-29,45.0,46.125,44.90625,45.734375,36.213512,27234400
2000-03-01,45.875,46.375,45.359375,46.15625,36.547558,19686000
2000-03-02,45.8125,46.71875,45.0625,45.128899,35.734081,17372800
2000-03-03,46.09375,47.75,45.96875,47.6875,37.760036,23431200
2000-03-06,47.796875,48.34375,45.390625,46.0,36.423840000000006,21448400
2000-03-07,46.5625,47.921875,45.875,46.03125,36.448593,24902800
2000-03-08,46.367176,46.4375,43.265625,44.84375,35.508289000000005,32934800
2000-03-09,44.625,47.625,43.515625,47.578125,37.673454,22627200
2000-03-10,47.027325,49.234375,46.734375,48.265625,38.217808000000005,24828800
2000-03-13,46.371075,47.75,46.125,46.984375,37.203289,27823600
2000-03-14,47.875,48.0625,44.617176,44.6875,35.384567,34925200
2000-03-15,44.71875,45.1875,42.125,42.796875,33.887539000000004,50149200
2000-03-16,43.75,45.375,40.75,43.96875,34.815445000000004,31674000
2000-03-17,45.0625,48.28125,44.96875,47.929649,37.951771,25240600
2000-03-20,47.59375,48.75,46.5625,47.0,37.21566,22011400
2000-03-21,47.21875,49.4375,46.0,49.0,38.799305,19909400
2000-03-22,48.96875,52.5625,48.5,52.375,41.471706,18566000
2000-03-23,52.125,54.625,51.0,51.21875,40.556152000000004,19089600
2000-03-24,52.71875,55.0,51.75,53.40625,42.288277,21554800
2000-03-27,53.96875,55.0,52.75,54.28125,42.981117,14457400
2000-03-28,53.9375,54.125,50.5,51.03125,40.407707,18758600
2000-03-29,51.3125,51.34375,48.0625,48.40625,38.329155,22673800
2000-03-30,47.3125,49.0,43.625,46.5,36.81974,28126400
2000-03-31,47.0,48.46875,44.0625,47.125,37.314632,34750400
2000-04-03,47.78125,48.375,43.5,44.625,35.335083000000004,25758400
