Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,26.1875,26.25,25.625,26.1875,19.569225,776300
2000-01-04,25.5,26.0,25.5,25.5,19.055475,633300
2000-01-05,25.75,25.9375,25.25,25.6875,19.195585,749800
2000-01-06,25.6875,27.3125,25.625,26.75,19.989563,427900
2000-01-07,27.0,28.375,26.9375,28.25,21.110466,896300
2000-01-10,28.125,28.1875,27.5625,27.625,20.643427,513600
2000-01-11,27.875,28.1875,27.125,27.1875,20.316496,572300
2000-01-12,26.6875,26.75,26.125,26.3125,19.662638,839900
2000-01-13,26.4375,28.5,26.375,28.125,21.017063,680700
2000-01-14,28.0,28.0,26.875,27.375,20.45661,631700
2000-01-18,27.1875,27.9375,26.75,27.4375,20.503315,904700
2000-01-19,27.1875,28.625,27.0,28.375,21.203882,888800
2000-01-20,28.375,28.625,27.625,27.8125,20.783545,752100
2000-01-21,29.0,29.4375,28.375,28.8125,21.530819,1278900
2000-01-24,28.6875,28.6875,27.125,27.875,20.830242000000002,857100
2000-01-25,27.625,28.0,26.8125,27.1875,20.316496,677300
2000-01-26,27.375,27.875,26.8125,26.8125,20.036264000000003,706500
2000-01-27,26.9375,27.875,26.6875,27.875,20.830242000000002,850800
2000-01-28,27.625,27.625,26.375,26.5,19.802736,810600
2000-01-31,26.4375,26.8125,25.8125,26.1875,19.569225,751100
2000-02-01,26.3125,27.125,26.125,27.125,20.269791,469300
2000-02-02,26.875,26.875,26.0,26.3125,19.662638,816100
2000-02-03,26.3125,26.3125,25.625,26.0,19.429104000000002,660200
2000-02-04,26.25,26.4375,25.9375,26.0,19.429104000000002,667000
2000-02-07,26.25,26.4375,25.9375,26.0,19.429104000000002,552500
2000-02-08,26.0,26.0,25.25,25.6875,19.195585,780600
2000-02-09,25.4375,25.9375,24.75,25.875,19.335691,1487800
2000-02-10,25.8125,25.9375,24.8125,25.125,18.775242000000002,853200
2000-02-11,25.375,25.4375,24.8125,25.0,18.681836999999998,732700
2000-02-14,25.1875,25.875,25.0,25.8125,19.28899,767800
2000-02-15,25.375,25.5,24.0,25.125,18.775242000000002,810500
2000-02-16,25.0,25.75,24.8125,25.625,19.148874,894400
2000-02-17,25.5,26.4375,25.0,26.3125,19.662638,887100
2000-02-18,26.5625,31.875,26.5625,30.5625,22.838549,4358000
2000-02-22,30.25,30.25,28.3125,29.0625,21.717638,1977400
2000-02-23,28.8125,30.625,28.6875,30.0,22.418201,2633800
2000-02-24,29.375,32.0,28.875,32.0,23.912748,2466900
2000-02-25,32.0,34.4375,31.875,34.125,25.500704000000002,3712000
2000-02-28,33.375,33.4375,30.75,31.0,23.16548,2058300
2000-02-29,31.0,31.875,30.25,31.0,23.16548,1528100
2000-03-01,30.9375,32.3125,30.5625,31.3125,23.398993,2458500
2000-03-02,31.9375,32.375,30.75,31.4375,23.492403,1741700
2000-03-03,31.5,31.9375,30.8125,31.5,23.539104000000002,1670300
2000-03-06,31.5625,31.5625,30.3125,30.8125,23.025357999999997,1004300
2000-03-07,30.25,30.25,28.75,29.625,22.137966,1824600
2000-03-08,29.6875,30.3125,28.875,30.0625,22.535646,1896800
2000-03-09,30.25,31.3125,29.5625,30.875,23.144722,1500700
2000-03-10,32.0,33.0,31.6875,32.0,23.988056,2773900
2000-03-13,31.75,31.75,30.0625,30.625,22.957314999999998,856600
2000-03-14,30.875,31.0625,29.5,29.625,22.207685,1112400
2000-03-15,29.375,30.625,28.9375,30.4375,22.816763,1622600
2000-03-16,30.4375,31.1875,30.125,31.0,23.238428,1630600
2000-03-17,31.25,31.6875,30.6875,31.25,23.425835,1512500
2000-03-20,31.0,31.625,30.8125,31.0,23.238428,706700
2000-03-21,31.0,31.0625,30.375,31.0,23.238428,790600
2000-03-22,30.75,31.0,29.9375,30.9375,23.191578,889500
2000-03-23,30.8125,30.8125,29.5625,30.0,22.488802,935100
2000-03-24,29.0,29.5625,27.25,28.0,20.989555,1617600
2000-03-27,28.0,28.0625,26.625,26.9375,20.193064,1480500
2000-03-28,26.8125,27.5,26.625,27.125,20.333622000000002,1396200
2000-03-29,27.0,27.0625,26.625,26.875,20.146219,1128600
2000-03-30,27.0,27.1875,26.375,26.5,19.865099,1647400
2000-03-31,26.5,27.4375,26.25,26.3125,19.724552,1483000
2000-04-03,26.5625,27.0625,26.3125,27.0,20.23992,1332300
2000-04-04,27.25,28.0625,26.5,27.0625,20.28677,1773000
2000-04-05,27.0,27.75,26.8125,27.1875,20.380474,738800
2000-04-06,26.9375,27.1875,26.6875,27.0,20.23992,1582000
2000-04-07,27.75,27.75,26.5,26.6875,20.005663000000002,1024700
2000-04-10,26.1875,26.8437,26.1875,26.5625,19.911964,639300
2000-04-11,26.5625,27.625,26.3125,27.4375,20.567877,909700
2000-04-12,27.6875,29.875,27.625,28.75,21.551765,1707300
2000-04-13,28.625,29.0,28.125,28.5625,21.411209,720900
2000-04-14,28.3125,28.375,26.625,26.875,20.146219,698500
2000-04-17,26.6875,26.9375,25.75,26.0625,19.537148000000002,859700
2000-04-18,26.125,26.75,25.8125,26.75,20.052509,739500
2000-04-19,26.75,26.75,25.75,25.8125,19.349739000000003,1293200
2000-04-20,26.0,26.25,24.9375,25.5625,19.162334,1268000
2000-04-24,25.1875,25.875,25.1875,25.5,19.115479999999998,1283000
2000-04-25,25.75,26.0625,25.5,26.0,19.490284,1013000
2000-04-26,26.25,26.8125,25.5625,25.75,19.302881,965000
2000-04-27,25.5,26.0625,25.125,25.75,19.302881,841200
2000-04-28,25.75,26.0,25.3125,25.625,19.209185,575100
2000-05-01,25.125,26.3125,25.125,25.8125,19.349739000000003,1257900
2000-05-02,25.625,26.8125,25.5,26.1875,19.630848,1204800
2000-05-03,26.0,27.375,25.875,26.8125,20.099363,1491700
2000-05-04,27.0,27.0,25.6875,26.0,19.490284,719700
2000-05-05,26.0,27.25,26.0,26.9375,20.193064,698100
2000-05-08,26.9375,27.0,26.1875,26.75,20.052509,676100
2000-05-09,26.5,27.125,26.0625,26.875,20.146219,1008300
2000-05-10,26.75,27.0,26.3125,26.75,20.052509,801600
2000-05-11,26.6875,27.5625,26.625,27.1875,20.380474,401200
2000-05-12,27.0625,27.5625,26.375,26.6875,20.005663000000002,860000
2000-05-15,26.9375,27.875,26.8125,27.8125,20.848989000000003,689500
2000-05-16,27.5625,27.625,26.625,27.625,20.708441,666300
2000-05-17,27.125,27.625,26.4375,27.4375,20.567877,669900
2000-05-18,27.5,28.0,27.25,27.8125,20.848989000000003,639000
2000-05-19,26.8125,27.8125,26.8125,27.25,20.427328,659800
2000-05-22,27.5,28.0,26.75,27.0,20.23992,645800
2000-05-23,27.25,28.25,27.125,27.5,20.614738,641600
2000-05-24,27.75,29.6875,27.75,29.5,22.113986999999998,1757600
2000-05-25,29.5,29.5,28.4375,28.75,21.551765,844200
2000-05-26,28.6875,28.8125,28.0,28.1875,21.130098,449600
2000-05-30,28.4375,30.0,28.3125,29.3125,21.973434,898500
2000-05-31,29.0,29.4375,28.625,29.1875,21.879728,587000
2000-06-01,29.0,29.0,28.4375,28.625,21.458067,270800
2000-06-02,29.0625,29.0625,28.0625,28.5625,21.411209,472000
2000-06-05,28.5625,29.1875,28.4375,29.0,21.73917,547400
2000-06-06,28.875,29.5,28.25,29.3125,21.973434,548900
2000-06-07,29.25,29.25,27.9375,28.125,21.150356,674800
2000-06-08,28.125,28.125,27.5,27.875,20.962343,266200
2000-06-09,27.9375,28.5625,27.8125,28.125,21.150356,444500
2000-06-12,28.0,28.125,27.4375,27.4375,20.63335,487400
2000-06-13,27.375,27.9375,27.3125,27.625,20.774345,670500
2000-06-14,27.6875,28.25,27.625,27.875,20.962343,973100
2000-06-15,27.9375,28.6875,27.875,28.25,21.244356,983900
2000-06-16,28.0,28.125,27.5,27.7812,20.891807999999997,578200
2000-06-19,27.875,27.9375,27.25,27.875,20.962343,690300
2000-06-20,27.75,28.1875,27.375,27.375,20.586351,1462800
2000-06-21,27.75,28.3125,27.5,27.75,20.868349,1399300
2000-06-22,27.5,27.75,27.0625,27.375,20.586351,746600
2000-06-23,27.375,28.375,27.0625,27.375,20.586351,500400
2000-06-26,27.25,27.8125,26.9375,27.3125,20.539345,611900
2000-06-27,27.5625,27.875,26.75,26.875,20.210337,590400
2000-06-28,26.9375,28.0,26.875,27.6562,20.797817000000002,647500
2000-06-29,27.4375,28.375,27.1875,27.75,20.868349,1288600
2000-06-30,27.5,28.75,27.375,28.6875,21.573355,1204700
2000-07-03,28.6875,28.75,27.5625,28.25,21.244356,254100
2000-07-05,28.625,29.875,28.125,29.5625,22.231377,954600
2000-07-06,29.5,29.8125,28.8125,29.5,22.184368,597100
2000-07-07,29.5,29.9375,28.75,29.375,22.090366,894700
2000-07-10,29.375,30.0,28.5,29.75,22.372377,591900
2000-07-11,30.0,30.0,29.5625,29.625,22.278370000000002,590000
2000-07-12,29.5,29.75,29.0,29.25,21.996365,866300
2000-07-13,29.0,29.0,27.4375,28.0,21.056348999999997,774600
2000-07-14,28.125,28.125,27.1875,27.25,20.492338,1109900
2000-07-17,26.875,27.6875,26.4375,27.5625,20.727342999999998,1352400
2000-07-18,27.5,28.9375,27.4375,28.5625,21.479362,930600
2000-07-19,28.6875,28.6875,27.75,28.25,21.244356,643600
2000-07-20,27.875,27.875,24.4687,24.9375,18.753307,3286900
2000-07-21,24.9375,25.5,24.75,25.5,19.176323,2145700
2000-07-24,25.5,25.5,25.0,25.3125,19.035313000000002,1276000
2000-07-25,25.25,25.3125,24.6875,24.75,18.612303,1273200
2000-07-26,24.75,24.75,23.75,23.875,17.954302,942300
2000-07-27,24.0,24.9375,23.875,24.875,18.706314000000003,799900
2000-07-28,24.75,25.125,24.3125,24.625,18.518309,632900
2000-07-31,25.125,25.875,24.875,25.25,18.988325,1324900
2000-08-01,25.5,26.25,25.1875,26.25,19.740335,975300
2000-08-02,26.875,26.875,26.25,26.5,19.928337,966200
2000-08-03,26.25,26.875,25.75,26.3125,19.787326999999998,854100
