Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,17.4375,17.5,16.625,16.625,12.089053999999999,64600
2000-01-04,16.625,16.625,15.625,15.875,11.543682,81900
2000-01-05,15.75,15.75,15.0,15.75,11.452788,38100
2000-01-06,15.75,16.25,15.75,16.0,11.634576,41200
2000-01-07,15.875,16.25,15.75,15.875,11.543682,34700
2000-01-10,16.5,16.5,16.0,16.0,11.634576,94200
2000-01-11,16.125,16.875,16.0,16.4375,11.952708,39700
2000-01-12,16.5,17.125,16.5,17.125,12.452634,25100
2000-01-13,17.25,17.5,16.875,16.9375,12.316286,62000
2000-01-14,17.0,17.75,16.875,17.5,12.725319,183100
2000-01-18,17.75,18.25,17.75,18.0,13.088899000000001,77300
2000-01-19,18.0,18.375,17.9375,18.25,13.27069,34500
2000-01-20,18.25,18.25,17.375,17.5,12.725319,42200
2000-01-21,17.4375,17.5,17.25,17.375,12.634419,16000
2000-01-24,17.5,17.5,17.0,17.125,12.452634,10700
2000-01-25,17.125,17.5,17.0625,17.25,12.543534,19200
2000-01-26,17.25,17.5,17.25,17.4375,12.679872999999999,16600
2000-01-27,17.4375,18.0,17.4375,17.5,12.725319,33600
2000-01-28,17.625,17.625,17.3125,17.375,12.634419,3900
2000-01-31,17.125,17.5,17.125,17.5,12.725319,53900
2000-02-01,17.375,17.75,17.375,17.75,12.907106,15400
2000-02-02,18.0,18.125,17.875,17.9375,13.043448,92700
2000-02-03,18.0625,18.125,17.9375,18.0,13.088899000000001,35200
2000-02-04,18.125,18.5625,18.125,18.4375,13.407032999999998,51500
2000-02-07,18.4375,18.5625,18.375,18.5,13.45248,25200
2000-02-08,18.5,18.875,18.5,18.5625,13.497929999999998,45300
2000-02-09,18.75,18.75,18.375,18.375,13.361576999999999,9100
2000-02-10,18.5,18.5,17.875,17.875,12.998007000000001,9700
2000-02-11,17.875,18.0,17.875,17.9375,13.043448,24700
2000-02-14,18.0625,18.0625,17.875,18.0,13.088899000000001,7100
2000-02-15,17.875,18.0,17.875,17.875,12.998007000000001,4900
2000-02-16,17.875,18.5,17.875,18.5,13.45248,69000
2000-02-17,18.5,18.6875,18.3125,18.375,13.361576999999999,28100
2000-02-18,18.375,18.5625,18.375,18.5,13.45248,5000
2000-02-22,18.625,18.8125,18.5625,18.5625,13.497929999999998,10700
2000-02-23,18.5625,18.9375,18.5625,18.8125,13.679720000000001,5700
2000-02-24,18.875,19.125,18.875,19.0,13.816064,61800
2000-02-25,19.0,19.25,19.0,19.25,13.997848999999999,41400
2000-02-28,19.25,20.125,19.25,20.125,14.634116,35700
2000-02-29,21.75,21.875,21.625,21.875,15.906651,79900
2000-03-01,22.5,22.75,21.75,21.75,15.815752,140600
2000-03-02,22.0,22.25,22.0,22.0625,16.042992,26600
2000-03-03,22.125,22.125,22.0625,22.125,16.08844,17300
2000-03-06,22.0625,22.25,22.0625,22.0625,16.042992,9900
2000-03-07,22.125,22.125,21.75,22.0,15.997545,26200
2000-03-08,22.0,22.1875,22.0,22.0,15.997545,31700
2000-03-09,21.875,22.0,21.75,22.0,15.997545,7800
