Date,Open,High,Low,Close,Adj Close,Volume
12/30/2016,163.160004,164.029999,162.619995,162.979996,162.979996,4041400
12/29/2016,163.929993,164.470001,163.009995,163.050003,163.050003,2531700
12/28/2016,165.449997,165.639999,163.559998,163.75,163.75,2626800
12/27/2016,165.509995,165.820007,164.779999,164.949997,164.949997,2133800
12/23/2016,166.259995,166.440002,164.770004,165.320007,165.320007,2039400
12/22/2016,165.770004,166.119995,164.889999,166.029999,166.029999,2511600
12/21/2016,166.399994,166.669998,165.550003,165.949997,165.949997,2480500
12/20/2016,166.149994,166.419998,165.399994,166.360001,166.360001,3103100
12/19/2016,165.190002,165.649994,164.479996,165.350006,165.350006,2972500
12/16/2016,166.139999,166.149994,164.330002,164.759995,164.759995,6839100
12/15/2016,165.5,167.020004,164.800003,165.729996,165.729996,3985500
12/14/2016,166.589996,167.25,164.539993,165.059998,165.059998,4537400
12/13/2016,166.490005,166.990005,165.399994,166.619995,166.619995,4359100
12/12/2016,164.649994,166.639999,164.350006,166.119995,166.119995,6759700
12/9/2016,164.279999,165.160004,163.070007,164.860001,164.860001,3887900
12/8/2016,164.979996,165.949997,163.520004,164.110001,164.110001,4902500
12/7/2016,161.940002,164.690002,161.399994,164.690002,164.690002,6043200
12/6/2016,160.570007,161.550003,159.929993,161.339996,161.339996,3543600
12/5/2016,160.25,160.679993,159.270004,160.210007,160.210007,4870400
12/2/2016,160.050003,160.119995,158.699997,159.389999,159.389999,3854400
12/1/2016,157.580002,160.240005,157.509995,160.119995,160.119995,4578600
11/30/2016,158.419998,158.889999,157.419998,157.440002,157.440002,5145600
11/29/2016,157.509995,157.979996,156.820007,157.679993,157.679993,2973300
11/28/2016,157.899994,158.490005,156.889999,156.970001,156.970001,4204300
11/25/2016,158.630005,158.630005,157.600006,158.179993,158.179993,1777200
11/23/2016,158.660004,159,157.279999,158.110001,158.110001,3050700
11/22/2016,159.009995,159.089996,157.830002,158.660004,158.660004,3143300
11/21/2016,158.100006,158.710007,157.419998,158.710007,158.710007,2847400
11/18/2016,158.350006,158.479996,157.169998,157.75,157.75,3383300
11/17/2016,156.809998,158.639999,156.300003,158.389999,158.389999,4169100
11/16/2016,157.020004,157.589996,156.020004,157.080002,157.080002,4426300
11/15/2016,157.610001,157.820007,156.089996,157.460007,157.460007,4780100
11/14/2016,157.479996,158.160004,156.529999,157.929993,157.929993,5483500
11/11/2016,155.300003,157.279999,155.149994,156.919998,156.919998,4514400
11/10/2016,152,156.610001,151.679993,156.059998,156.059998,8142500
11/9/2016,146.100006,151.639999,145.100006,151.279999,151.279999,8687800
11/8/2016,146.889999,148.139999,146.399994,147.789993,147.789993,3614500
11/7/2016,144.710007,147.169998,144.300003,146.910004,146.910004,5236000
