Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,71.6875,72.0,69.75,70.0,52.832370999999995,3176300
2000-01-04,69.125,70.5625,67.8125,70.0,52.832370999999995,2568200
2000-01-05,65.25,65.25,61.875,63.0,47.549149,5085700
2000-01-06,63.25,63.75,58.5625,59.0,44.530136,3903700
2000-01-07,60.0,60.5625,58.625,58.75,44.341457,2984000
2000-01-10,60.25,64.0,60.125,62.6875,47.313282,3171300
2000-01-11,63.25,66.375,63.0,65.4375,49.388832,2538200
2000-01-12,67.0,68.75,65.5,68.5625,51.747425,2695000
2000-01-13,68.5625,68.5625,64.0,64.0,48.30389,1342000
2000-01-14,66.0,66.75,64.8125,65.5625,49.48317,1830400
2000-01-18,66.125,66.375,63.75,64.0,48.30389,2053500
2000-01-19,64.125,65.3125,63.875,64.0,48.30389,1888400
2000-01-20,65.25,69.4375,65.125,69.25,52.266312,3729000
2000-01-21,69.9375,71.25,68.125,70.8125,53.445595,3247400
2000-01-24,72.8125,77.0,71.875,74.0,55.851383,4893800
2000-01-25,72.75,75.0,71.125,74.6875,56.37025500000001,3539300
2000-01-26,74.875,76.6875,73.625,75.0,56.60611,2815500
2000-01-27,74.5625,79.4375,71.5,72.5,54.71925,5171300
2000-01-28,71.25,72.375,67.3125,68.75,51.888946999999995,3291900
2000-01-31,68.0,70.25,65.5625,68.5,51.70026,2867100
2000-02-01,68.75,70.5625,66.875,70.375,53.11539499999999,1950100
2000-02-02,71.25,71.4375,68.8125,70.0,52.832370999999995,2208000
2000-02-03,70.875,71.375,69.625,70.25,53.021046,2074700
2000-02-04,70.5,72.5,70.25,70.75,53.398426,2035400
2000-02-07,71.25,71.6875,69.0,69.25,52.266312,1616200
2000-02-08,71.1875,71.9375,70.3125,70.8125,53.445595,3181600
2000-02-09,72.5,72.5,69.875,70.25,53.021046,1944700
2000-02-10,70.3125,71.6875,68.625,68.625,51.794594000000004,2361100
2000-02-11,69.625,70.25,69.0625,69.75,52.643696,2083500
2000-02-14,68.0625,69.875,66.8125,69.3125,52.313488,4667900
2000-02-15,70.625,73.5,69.5,73.0,55.096644999999995,4200500
2000-02-16,73.75,74.375,72.625,72.75,54.907936,2689500
2000-02-17,72.75,73.75,71.375,72.375,54.624886,2488800
2000-02-18,73.75,74.25,71.25,71.25,53.77581,2811200
2000-02-22,71.5,71.8125,67.5625,69.5625,52.50219,2438700
2000-02-23,70.375,70.375,67.75,68.0,51.322899,2727900
2000-02-24,69.375,70.25,65.5,67.8125,51.181377000000005,2791800
2000-02-25,68.25,68.25,64.9375,65.8125,49.671871,2415600
2000-02-28,65.875,66.0625,63.625,64.4375,48.634087,2124200
2000-02-29,65.75,66.375,64.0625,64.25,48.492592,2526200
2000-03-01,66.0,67.25,65.8125,66.3125,50.049240000000005,3100200
2000-03-02,66.3125,66.3125,64.625,64.875,48.964306,2232800
2000-03-03,65.125,65.8125,64.875,65.1875,49.200146000000004,2233700
2000-03-06,66.25,66.5625,63.1875,63.8125,48.162372999999995,3251000
2000-03-07,63.9375,64.625,62.6875,63.0,47.549149,3036500
2000-03-08,62.75,64.1875,59.75,60.25,45.473579,2976900
