Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,30.9375,31.0,29.5,29.5,16.648876,1615200
2000-01-04,29.5625,30.0,29.5625,29.875,16.860519,456400
2000-01-05,29.8125,31.0,29.6875,30.6875,17.319063,1842300
2000-01-06,30.6875,31.125,30.125,30.4375,17.177973,366500
2000-01-07,30.875,31.25,30.625,31.125,17.565975,531300
2000-01-10,30.9375,31.3125,30.4375,30.6875,17.319063,257800
2000-01-11,30.5625,31.5625,30.5625,31.5,17.777611,1471100
2000-01-12,31.3125,31.5,31.0625,31.3125,17.671799,1518200
2000-01-13,31.5625,32.0,31.3125,31.625,17.84816,492700
2000-01-14,31.625,31.625,30.875,31.1875,17.601254,276700
2000-01-18,31.0,31.0,30.4375,30.5625,17.248516,418900
2000-01-19,30.625,31.125,30.5,30.875,17.424887,512300
2000-01-20,30.9375,31.125,30.3125,30.9375,17.460155,391500
2000-01-21,31.0,31.625,30.625,31.375,17.707066,567300
2000-01-24,31.5,32.0625,31.25,31.25,17.636526,657300
2000-01-25,31.3125,31.3125,30.5,30.6875,17.319063,714500
2000-01-26,30.875,30.875,30.0,30.4375,17.177973,1105700
2000-01-27,30.6875,30.6875,29.9375,30.0,16.931059,572300
2000-01-28,29.75,30.25,29.4375,29.5,16.648876,514300
2000-01-31,29.75,30.375,29.3125,30.0,16.931059,982200
2000-02-01,26.125,26.625,22.75,23.5,13.262666000000001,4026100
2000-02-02,23.0,23.0,20.3125,21.375,12.063385,6256700
2000-02-03,21.1875,22.3125,21.0625,21.9375,12.380841,5044000
2000-02-04,21.875,22.0,20.125,20.375,11.693574,3314200
2000-02-07,20.375,20.5625,20.0625,20.3125,11.6577,698100
2000-02-08,20.375,20.6875,20.25,20.3125,11.6577,807100
2000-02-09,20.3125,20.375,19.8125,19.9375,11.442483,1282000
2000-02-10,19.9375,19.9375,18.0625,18.75,10.760959,2792300
2000-02-11,18.8125,18.8125,18.0625,18.625,10.689213,1121200
2000-02-14,18.75,19.375,18.625,19.1875,11.012047,714400
2000-02-15,19.5,19.75,19.25,19.375,11.119657,746200
2000-02-16,19.125,19.3125,18.5,18.6875,10.725083,920000
2000-02-17,18.6875,18.6875,18.0,18.375,10.545736,1281500
2000-02-18,18.3125,18.5,17.9375,18.3125,10.509867999999999,907200
2000-02-22,18.3125,18.375,17.9375,18.25,10.473997,685400
2000-02-23,18.4375,18.4375,17.5,17.5625,10.07943,1077400
2000-02-24,17.6875,17.6875,16.875,17.0,9.756601,697500
2000-02-25,17.0,17.0,16.1875,16.4375,9.433769,757300
2000-02-28,16.6875,16.6875,16.0625,16.5,9.46964,816200
2000-02-29,16.625,16.9375,16.5625,16.75,9.61312,914200
2000-03-01,16.75,17.0,16.6875,16.9375,9.720728999999999,487000
