Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,34.375,34.4375,33.75,33.75,13.849155,581900
2000-01-04,33.5625,34.3125,33.5625,34.1875,14.028675,602400
2000-01-05,34.375,35.875,34.375,35.75,14.669846,817800
2000-01-06,35.25,35.875,35.0625,35.8125,14.695488000000001,680900
2000-01-07,35.8125,36.1875,35.625,36.0625,14.798075,391100
2000-01-10,36.125,36.125,35.0,35.125,14.413379999999998,481700
2000-01-11,35.125,35.25,34.3125,34.4375,14.131260999999999,544600
2000-01-12,34.4375,35.0,34.375,34.5625,14.182556,749000
2000-01-13,34.875,34.875,34.0,34.25,14.054322,452600
2000-01-14,34.125,34.375,33.5625,33.6875,13.823506,646700
2000-01-18,33.25,33.4375,32.5,32.625,13.387514000000001,740500
2000-01-19,32.875,33.5,32.8125,33.25,13.643978,453700
2000-01-20,33.25,33.375,32.8125,32.875,13.490098000000001,526300
2000-01-21,33.125,34.25,33.0,33.5625,13.772215,695400
2000-01-24,34.375,34.5,34.0,34.0,13.951735000000001,643500
2000-01-25,34.125,34.25,32.875,33.0,13.541393,492000
2000-01-26,33.25,34.0,33.0,34.0,13.951735000000001,341600
2000-01-27,34.0,34.25,32.8125,33.3125,13.669628,469300
2000-01-28,33.3125,33.8125,32.5,32.5625,13.361865,631600
2000-01-31,32.625,32.875,32.3125,32.6875,13.413160000000001,555800
2000-02-01,32.75,33.0625,32.5,32.875,13.490098000000001,626500
2000-02-02,32.875,33.0,32.3125,32.5,13.336220999999998,394000
2000-02-03,32.5625,33.125,32.5,32.8125,13.464453,1015300
2000-02-04,32.8125,32.875,31.625,32.25,13.233635000000001,864300
2000-02-07,32.3125,32.375,31.5625,31.5625,12.951524000000001,467400
2000-02-08,31.375,31.625,31.1875,31.5,12.925871,578900
2000-02-09,31.4375,31.6875,31.3125,31.4375,12.900228,845300
2000-02-10,31.4375,32.0625,31.4375,31.8125,13.054102,690400
2000-02-11,31.9375,32.125,31.875,32.125,13.18234,1652100
2000-02-14,31.75,31.875,31.0625,31.25,13.044587,1234200
2000-02-15,31.25,31.375,31.0,31.0625,12.966324,389600
2000-02-16,30.9375,30.9375,30.4375,30.8125,12.861969,349700
2000-02-17,30.8125,30.8125,29.125,29.25,12.209734,1465300
2000-02-18,29.25,29.25,28.0,28.125,11.740129,1251200
2000-02-22,28.25,28.25,27.8125,27.875,11.635778,961700
2000-02-23,27.9375,27.9375,27.5,27.5,11.479239,1122900
2000-02-24,27.5,27.5625,26.3125,26.75,11.166171,1128600
2000-02-25,26.75,27.25,26.1875,26.1875,10.931367,854600
2000-02-28,26.75,27.8125,26.5,27.375,11.42706,1126000
2000-02-29,27.3125,27.8125,27.25,27.5625,11.505329,609200
2000-03-01,27.75,27.875,26.8125,27.125,11.322704,723200
2000-03-02,27.0,27.4375,27.0,27.25,11.374889,551900
2000-03-03,27.5,27.875,27.25,27.375,11.42706,415500
2000-03-06,27.375,27.625,26.9375,27.4375,11.453151,1350400
2000-03-07,27.5,27.9375,27.4375,27.625,11.531411,628000
2000-03-08,27.5,27.9375,27.375,27.5,11.479239,864200
2000-03-09,27.625,27.6875,27.25,27.5,11.479239,404300
2000-03-10,27.5,27.5625,27.375,27.4375,11.453151,395000
2000-03-13,27.25,27.6875,27.25,27.6875,11.557507000000001,512900
2000-03-14,27.5,27.8125,27.375,27.625,11.531411,473700
2000-03-15,27.5,29.125,27.5,29.125,12.15756,790100
2000-03-16,31.0,31.25,30.0625,31.0,12.940233000000001,1198300
2000-03-17,31.0,31.0,30.5625,30.6875,12.809787,798100
2000-03-20,30.5,30.9375,30.4375,30.6875,12.809787,535200
2000-03-21,30.75,31.0625,30.0625,30.5,12.731522,575300
2000-03-22,30.25,30.25,29.1875,29.375,12.261916000000001,300100
2000-03-23,29.4375,30.125,29.3125,30.125,12.574985,397300
2000-03-24,30.0625,30.125,29.0,29.25,12.209734,1796000
2000-03-27,28.75,29.3125,28.75,29.0625,12.131469000000001,636100
2000-03-28,29.0,29.125,28.4375,28.625,11.948841,761300
2000-03-29,28.75,29.25,28.6875,29.0,12.105378,603600
2000-03-30,29.125,29.5625,28.8125,29.125,12.15756,491900
2000-03-31,29.375,29.375,28.75,29.125,12.15756,553200
2000-04-03,29.125,29.4375,28.875,29.0,12.105378,798300
2000-04-04,29.0625,30.1875,29.0,30.1875,12.601068,1021600
2000-04-05,30.0,30.6875,29.5625,29.8125,12.444538,565800
2000-04-06,30.0,30.1875,29.75,29.8125,12.444538,373800
2000-04-07,29.8125,29.9375,29.5,29.6875,12.392361,375000
2000-04-10,29.6875,30.25,29.6875,29.9375,12.496717,859600
