Date,Open,High,Low,Close,Adj Close,Volume
2001-06-15,5.45,5.62,5.4375,5.4625,4.110391,4937600
2001-06-18,5.4625,5.5,5.355,5.375,4.044549,3216800
2001-06-19,5.4125,5.4125,5.2,5.2125,3.922272,4008400
2001-06-20,5.1875,5.2,4.95,5.2,3.912866,5226800
2001-06-21,5.175,5.175,4.9975,5.0,3.762371,4319200
2001-06-22,5.0,5.025,5.0,5.0,3.762371,1360000
2001-06-25,5.0,5.0025,5.0,5.0,3.762371,130800
2001-06-26,5.0,5.0125,5.0,5.0025,3.7642519999999995,728800
2001-06-27,5.0,5.0025,4.9,4.95,3.7247470000000003,4140800
2001-06-28,4.95,5.0,4.925,4.925,3.705936,2248800
2001-06-29,4.925,5.1625,4.925,5.1625,3.8846480000000003,780800
2001-07-02,5.1625,5.1625,4.925,4.95,3.7247470000000003,380400
2001-07-03,4.9375,4.9375,4.75,4.7775,3.5949449999999996,919200
2001-07-05,4.8125,4.875,4.8125,4.875,3.668311,673200
2001-07-06,4.8625,4.875,4.85,4.855,3.653263,391600
2001-07-09,4.8675,4.9375,4.7875,4.7875,3.60247,2055200
2001-07-10,4.7875,4.7875,4.4875,4.5,3.386133,3034400
2001-07-11,4.52,4.6,4.4875,4.525,3.404946,2623600
2001-07-12,4.525,4.525,4.4875,4.525,3.404946,1444000
2001-07-13,4.55,4.725,4.55,4.6725,3.515936,1692800
2001-07-16,4.6275,4.6275,4.4575,4.4875,3.376728,695600
2001-07-17,4.4625,4.52,4.3525,4.3975,3.3090059999999997,1402800
2001-07-18,4.3725,4.5125,4.3725,4.46,3.356035,549600
2001-07-19,4.485,4.6375,4.475,4.5375,3.4143510000000004,695200
2001-07-20,4.525,4.5375,4.475,4.5225,3.403064,1542800
2001-07-23,4.5225,4.53,4.475,4.5,3.386133,308000
2001-07-24,4.475,4.725,4.4625,4.5,3.386133,851200
2001-07-25,4.5125,4.85,4.44,4.8,3.611876,1179600
2001-07-26,4.775,4.8,4.725,4.775,3.593064,384400
2001-07-27,4.7375,4.7375,4.6125,4.6175,3.4745489999999997,343600
2001-07-30,4.63,4.6425,4.5525,4.6225,3.4783120000000003,106800
2001-07-31,4.635,4.66,4.4375,4.5175,3.3993019999999996,1671200
2001-08-01,4.5425,4.575,4.4975,4.5,3.386133,490800
2001-08-02,4.5,4.5625,4.4975,4.55,3.4237580000000003,692000
2001-08-03,4.56,4.56,4.4875,4.4875,3.376728,274400
2001-08-06,4.4625,4.4675,4.3875,4.4,3.310887,196400
2001-08-07,4.4,4.4,4.3125,4.3125,3.245045,111200
2001-08-08,4.3125,4.375,4.2475,4.2475,3.196134,737600
2001-08-09,4.2475,4.2475,4.05,4.0575,3.0531639999999998,1316800
2001-08-10,4.0325,4.0625,4.0,4.0625,3.056926,368000
2001-08-13,4.075,4.075,4.0,4.0,3.009897,34800
2001-08-14,4.0,4.0375,3.95,4.0375,3.0381150000000003,56800
2001-08-15,4.075,4.2625,4.0725,4.225,3.179204,946800
2001-08-16,4.23,4.245,4.1875,4.19,3.1528669999999996,934400
2001-08-17,4.19,4.2,4.1625,4.1625,3.132174,149600
2001-08-20,4.175,4.215,4.175,4.215,3.171679,324400
2001-08-21,4.24,4.24,4.1725,4.175,3.14158,94400
2001-08-22,4.175,4.235,4.15,4.16,3.130293,95200
2001-08-23,4.1475,4.1575,4.1125,4.12,3.1001939999999997,319200
2001-08-24,4.1075,4.1075,4.05,4.055,3.051283,358400
2001-08-27,4.0425,4.25,4.0425,4.125,3.103956,305200
2001-08-28,4.1125,4.1125,4.0675,4.1125,3.09455,302400
2001-08-29,4.0875,4.125,4.0625,4.105,3.088907,546800
2001-08-30,4.09,4.09,3.95,3.9975,3.008016,674000
2001-08-31,4.01,4.0675,4.01,4.0675,3.060689,286400
2001-09-04,4.0675,4.2375,4.0675,4.18,3.145342,666000
2001-09-05,4.1675,4.1775,4.075,4.125,3.103956,330000
2001-09-06,4.125,4.125,4.0225,4.025,3.028709,1445600
2001-09-07,4.0,4.0025,3.95,3.9625,2.981679,220000
2001-09-10,3.9375,3.9875,3.8825,3.8925,2.929006,461200
2001-09-17,3.8675,3.8675,3.4,3.475,2.614848,1533200
2001-09-18,3.45,3.6,3.45,3.56,2.678808,1156800
2001-09-19,3.55,3.5525,3.4625,3.5,2.63366,420000
2001-09-20,3.475,3.5875,3.4625,3.5625,2.680689,887200
2001-09-21,3.5375,3.5875,3.475,3.5,2.63366,906800
2001-09-24,3.55,3.55,3.475,3.5,2.63366,279200
2001-09-25,3.5,3.5,3.2275,3.2275,2.428611,288000
2001-09-26,3.2025,3.205,2.825,2.875,2.163364,588000
2001-09-27,2.85,2.95,2.7475,2.95,2.219799,2769200
2001-09-28,2.95,2.95,2.875,2.8875,2.17277,650400
2001-10-01,2.8875,2.8875,2.84,2.84,2.1370270000000002,161600
2001-10-02,2.8425,2.8425,2.825,2.8275,2.127621,523600
2001-10-03,2.8125,2.995,2.765,2.995,2.25366,541600
2001-10-04,2.97,3.1075,2.9675,3.1075,2.338314,762400
2001-10-05,3.1325,3.15,2.925,2.9375,2.210393,799600
2001-10-08,2.925,3.025,2.925,3.025,2.276235,240800
2001-10-09,3.0375,3.0375,2.975,3.0375,2.2856400000000003,119200
2001-10-10,3.0625,3.2275,3.05,3.1775,2.390987,145600
2001-10-11,3.2025,3.4875,3.2025,3.4275,2.5791049999999998,120000
2001-10-12,3.4025,3.4025,3.2725,3.275,2.464353,80000
2001-10-15,3.25,3.275,3.1625,3.1625,2.3797,114000
2001-10-16,3.1375,3.1825,3.11,3.1525,2.372175,205600
2001-10-17,3.175,3.175,3.1125,3.125,2.351482,140800
2001-10-18,3.15,3.15,3.1,3.15,2.370294,1000800
2001-10-19,3.1375,3.1625,3.125,3.1625,2.3797,397600
2001-10-22,3.175,3.225,3.175,3.225,2.426729,14400
2001-10-23,3.25,3.2875,3.25,3.2775,2.466234,101600
2001-10-24,3.2775,3.2775,3.25,3.255,2.449304,70000
2001-10-25,3.25,3.375,3.25,3.375,2.5396009999999998,140800
2001-10-26,3.3725,3.445,3.35,3.4375,2.58663,285600
2001-10-29,3.42,3.425,3.3625,3.4,2.5584130000000003,248400
2001-10-30,3.4125,3.4125,3.3375,3.3375,2.5113830000000004,240800
2001-10-31,3.3375,3.41,3.2375,3.275,2.464353,278400
2001-11-01,3.25,3.2725,3.0975,3.25,2.445541,92400
2001-11-02,3.25,3.3375,3.25,3.3375,2.5113830000000004,58800
2001-11-05,3.36,3.45,3.36,3.45,2.5960360000000002,2104000
2001-11-06,3.4375,3.45,3.4125,3.43,2.580987,541200
