Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,11.0625,11.0625,10.8125,10.8125,9.004228999999999,1356800
2000-01-04,10.8125,10.875,10.4375,10.5,8.743997,1126600
2000-01-05,10.5,10.5,10.1875,10.3125,8.587849,1278800
2000-01-06,10.3125,10.4375,10.3125,10.3125,8.587849,2142800
2000-01-07,10.5,10.625,10.5,10.5625,8.796041,2784200
2000-01-10,10.5625,10.625,10.5,10.5625,8.796041,964200
2000-01-11,10.5625,10.75,10.5625,10.6875,8.900136,1656400
2000-01-12,10.6875,10.75,10.625,10.625,8.848089,1719400
2000-01-13,10.6875,10.9375,10.6875,10.8125,9.004228999999999,947800
2000-01-14,10.8125,10.875,10.6875,10.6875,8.900136,739400
2000-01-18,10.625,10.625,10.4375,10.4375,8.691947,802800
2000-01-19,10.4375,10.9375,10.4375,10.625,8.848089,1146000
2000-01-20,10.625,10.625,10.5,10.5,8.743997,1032800
2000-01-21,10.5,10.6875,10.5,10.5625,8.796041,1961400
2000-01-24,10.5625,10.625,10.4375,10.4375,8.691947,1661000
2000-01-25,10.4375,10.5,10.125,10.1875,8.483756,2578600
2000-01-26,10.125,10.125,9.6875,9.6875,8.067375,2074600
2000-01-27,9.6875,9.875,9.5625,9.8125,8.171469,1875800
2000-01-28,9.75,9.75,9.5625,9.5625,7.963277000000001,1590000
2000-01-31,9.5625,9.5625,9.4375,9.4375,7.859186,1802800
2000-02-01,9.4375,9.8125,9.4375,9.75,8.119421,1504600
2000-02-02,9.75,9.8125,9.6875,9.75,8.119421,955200
2000-02-03,9.75,10.0,9.6875,9.8125,8.171469,1320200
2000-02-04,9.8125,9.8125,9.75,9.75,8.119421,2108000
2000-02-07,9.75,9.875,9.75,9.8125,8.171469,760800
2000-02-08,9.8125,10.0625,9.8125,9.9375,8.275567,1197000
2000-02-09,9.9375,9.9375,9.8125,9.8125,8.171469,1901400
2000-02-10,9.8125,9.875,9.4375,9.625,8.015325,1941800
2000-02-11,9.5625,9.5625,9.25,9.4375,7.859186,4416200
2000-02-14,9.4375,9.875,9.4375,9.875,8.223513,2297400
2000-02-15,10.0625,10.6875,10.0625,10.1875,8.483756,2778000
2000-02-16,10.1875,10.1875,9.9375,10.0625,8.379659,2960800
2000-02-17,10.0625,10.3125,10.0,10.25,8.535806,4666200
2000-02-18,10.25,10.5,10.125,10.1875,8.483756,2250000
2000-02-22,10.1875,10.375,10.0,10.3125,8.587849,1162000
2000-02-23,10.3125,10.5,10.1875,10.25,8.535806,5380600
2000-02-24,10.25,10.25,10.125,10.1875,8.483756,1238200
2000-02-25,10.1875,10.3125,10.0,10.0625,8.379659,1841200
2000-02-28,10.0625,10.0625,9.875,10.0,8.327614,1085600
2000-02-29,9.875,9.875,9.6875,9.8125,8.171469,2504000
2000-03-01,9.8125,9.9375,9.75,9.9375,8.275567,1148000
2000-03-02,9.9375,9.9375,9.75,9.8125,8.171469,1337200
2000-03-03,9.8125,10.0625,9.75,9.9375,8.275567,996200
2000-03-06,9.9375,10.0625,9.75,9.8125,8.171469,728000
2000-03-07,9.8125,9.8125,9.5625,9.625,8.015325,841600
2000-03-08,9.625,9.875,9.5625,9.6875,8.067375,1077000
2000-03-09,9.6875,10.0,9.6875,10.0,8.327614,1225400
2000-03-10,10.0,10.0625,9.75,9.875,8.223513,802600
2000-03-13,9.875,10.5,9.875,10.0625,8.379659,1546200
2000-03-14,10.1875,10.5,10.1875,10.3125,8.587849,1142200
2000-03-15,10.3125,10.875,10.125,10.8125,9.004228999999999,1365000
2000-03-16,10.8125,11.0,10.75,10.9375,9.108326,2816600
2000-03-17,10.9375,10.9375,10.625,10.75,8.952183,1599400
2000-03-20,10.75,10.9375,10.625,10.75,8.952183,1223000
2000-03-21,10.75,10.875,10.6875,10.75,8.952183,1369600
2000-03-22,10.8125,11.125,10.8125,11.125,9.264466,2129400
2000-03-23,11.125,11.4375,11.125,11.25,9.368568,1188200
2000-03-24,11.25,11.4375,11.1875,11.25,9.368568,2409600
2000-03-27,11.25,11.375,11.25,11.25,9.368568,783200
2000-03-28,11.25,11.3125,11.0,11.0625,9.212421,765600
2000-03-29,11.0625,11.125,10.5625,10.75,8.952183,1100000
2000-03-30,10.75,10.75,10.625,10.6875,8.900136,1426400
2000-03-31,10.6875,10.875,10.5,10.75,8.952183,1061000
2000-04-03,10.75,10.75,10.5,10.5625,8.796041,831800
2000-04-04,10.5625,10.9375,10.25,10.375,8.639897999999999,1216400
2000-04-05,10.375,10.4375,9.9375,10.1875,8.483756,1189800
2000-04-06,10.1875,10.6875,10.1875,10.5625,8.796041,1026400
2000-04-07,10.5625,10.625,10.4375,10.5,8.743997,631400
2000-04-10,10.5625,10.6875,10.5625,10.5625,8.796041,768600
2000-04-11,10.5625,10.75,10.4375,10.5,8.743997,2690400
2000-04-12,10.5,10.6875,10.375,10.5,8.743997,1724800
2000-04-13,10.5,10.625,10.125,10.125,8.431707000000001,1125000
2000-04-14,10.125,10.3125,10.0625,10.1875,8.483756,1554000
2000-04-17,10.25,10.6875,10.25,10.625,8.848089,1029400
2000-04-18,10.625,10.75,10.3125,10.4375,8.691947,2104800
2000-04-19,10.5,10.75,10.5,10.6875,8.900136,2048200
2000-04-20,10.6875,10.875,10.625,10.8125,9.004228999999999,1061000
2000-04-24,10.8125,11.0625,10.5625,10.8125,9.004228999999999,751600
2000-04-25,10.8125,11.3125,10.6875,11.125,9.264466,1075600
2000-04-26,11.125,11.25,11.0625,11.125,9.264466,1090400
2000-04-27,11.125,11.4375,11.125,11.375,9.472659,967800
2000-04-28,11.375,11.4375,10.8125,11.3125,9.420612,890400
2000-05-01,11.3125,11.6875,11.3125,11.6875,9.732897,1428200
2000-05-02,11.6875,11.875,10.9375,11.25,9.368568,1448200
2000-05-03,11.25,11.4375,10.875,11.375,9.472659,890200
2000-05-04,11.375,11.8125,11.3125,11.6875,9.732897,1884000
2000-05-05,11.625,11.625,11.4375,11.4375,9.524709,546400
2000-05-08,11.4375,11.4375,11.0625,11.375,9.472659,1355800
2000-05-09,11.375,11.375,11.0625,11.375,9.472659,347000
2000-05-10,11.375,11.4375,11.0,11.1875,9.316516,631800
2000-05-11,11.1875,11.25,11.0,11.25,9.368568,774600
2000-05-12,11.25,11.375,11.1875,11.375,9.472659,1837800
2000-05-15,11.375,11.5,11.1875,11.3125,9.420612,1755000
