Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,19.25,19.25,17.375,18.09375,11.455521000000001,367000
2000-01-04,18.1875,18.1875,17.4375,17.8125,11.277459,175200
2000-01-05,17.8125,18.25,17.5625,18.09375,11.455521000000001,213800
2000-01-06,17.96875,18.0625,17.65625,18.0,11.396171,511800
2000-01-07,18.125,18.875,17.96875,18.71875,11.851223,339800
2000-01-10,19.0625,19.0625,18.125,18.1875,11.514878,297400
2000-01-11,18.28125,18.375,17.96875,18.0,11.396171,238600
2000-01-12,18.09375,18.4375,17.84375,18.0,11.396171,187400
2000-01-13,18.0,18.09375,17.78125,17.9375,11.356601,272600
2000-01-14,18.0,18.09375,17.5,17.71875,11.218103,330600
2000-01-18,17.65625,17.75,17.3125,17.4375,11.040038000000001,247000
2000-01-19,17.46875,17.625,17.34375,17.4375,11.040038000000001,162400
2000-01-20,17.4375,17.625,16.96875,17.125,10.842186,189800
2000-01-21,17.375,17.4375,17.03125,17.28125,10.941112,183200
2000-01-24,17.15625,17.25,16.28125,16.5,10.446487,476800
2000-01-25,16.75,16.75,15.625,15.96875,10.110144,716800
2000-01-26,16.0625,16.25,15.78125,15.90625,10.172496,289400
2000-01-27,16.03125,16.8125,15.9375,16.4375,10.512244,661400
2000-01-28,16.4375,16.5625,16.0625,16.375,10.472275999999999,260000
2000-01-31,16.5,17.125,16.125,16.75,10.712099,657200
2000-02-01,16.875,17.125,16.625,16.84375,10.772056,342600
2000-02-02,17.125,17.75,17.125,17.15625,10.971907,732200
2000-02-03,17.0625,17.4375,16.90625,17.21875,11.01188,589200
2000-02-04,17.1875,17.4375,17.1875,17.28125,11.05185,271200
2000-02-07,17.5625,18.6875,17.375,18.34375,11.731345,774800
2000-02-08,18.46875,19.0,17.8125,18.0,11.511509,526800
2000-02-09,18.0,18.1875,17.625,18.03125,11.531497,396000
2000-02-10,17.96875,18.0,17.65625,17.9375,11.47154,414800
2000-02-11,18.125,18.125,17.1875,17.1875,10.991896,154200
2000-02-14,17.375,17.96875,17.3125,17.9375,11.47154,376400
2000-02-15,17.8125,18.125,17.46875,17.8125,11.391602,595000
2000-02-16,17.84375,18.34375,17.84375,18.0625,11.55148,388400
2000-02-17,18.125,18.21875,17.75,17.75,11.35163,239600
2000-02-18,17.6875,18.125,17.65625,17.96875,11.491522,278600
2000-02-22,18.71875,18.8125,18.15625,18.3125,11.711364999999999,390600
2000-02-23,18.25,18.375,17.875,18.375,11.751339,260200
