Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,26.75,27.4375,26.75,26.875,16.869486,536000
2000-01-04,27.125,27.25,26.0,26.5625,16.673342,258900
2000-01-05,26.5,26.625,25.25,25.5625,16.04563,189400
2000-01-06,25.5625,25.875,25.25,25.625,16.084856,213300
2000-01-07,25.75,26.3125,25.0625,26.25,16.477173,796400
2000-01-10,26.5,26.5,25.6875,25.75,16.163328,297300
2000-01-11,26.0625,26.5,25.8125,26.125,16.398712,230500
2000-01-12,26.25,27.0625,26.25,26.9375,16.908720000000002,604700
2000-01-13,26.9375,27.3125,26.5625,27.25,17.104876,220200
2000-01-14,27.375,27.5,27.0625,27.125,17.026421,502200
2000-01-18,27.25,27.625,27.125,27.5,17.261808,336000
2000-01-19,27.6875,27.6875,27.375,27.375,17.183342,371400
2000-01-20,27.5,27.5625,27.125,27.1875,17.065647,212000
2000-01-21,27.25,27.3125,26.4375,26.6875,16.751793,361200
2000-01-24,26.8125,26.9375,26.3125,26.3125,16.516409,201000
2000-01-25,26.25,26.3125,25.5,25.75,16.163328,286300
2000-01-26,25.75,25.875,25.0625,25.625,16.084856,241800
2000-01-27,25.8125,26.5625,25.8125,26.5,16.634094,265100
2000-01-28,26.5,26.75,26.375,26.375,16.555637,405700
2000-01-31,26.5625,27.0,26.4375,26.875,16.869486,316100
2000-02-01,27.125,27.3125,26.1875,26.4375,16.594875,362200
2000-02-02,26.4375,26.75,26.4375,26.625,16.712566,214100
2000-02-03,26.75,27.4375,26.75,27.1875,17.065647,298800
2000-02-04,27.375,27.375,26.875,26.9375,16.908720000000002,355900
2000-02-07,27.0,27.0,26.25,26.375,16.555637,165900
2000-02-08,26.5,26.75,25.6875,25.8125,16.202548999999998,245000
2000-02-09,25.8125,25.8125,24.75,24.875,15.614082999999999,337200
2000-02-10,24.875,24.875,24.0,24.3125,15.261001,284400
2000-02-11,24.4375,24.625,23.75,23.875,14.986389,200800
2000-02-14,24.0,24.3125,23.75,23.75,14.907921,185100
2000-02-15,23.9375,24.25,23.3125,24.25,15.221770000000001,373300
2000-02-16,23.9375,24.0,23.4375,23.6875,15.011060999999998,129300
2000-02-17,23.5625,23.6875,23.125,23.6875,15.011060999999998,136600
2000-02-18,23.4375,23.5,22.1875,22.5625,14.298138,306300
2000-02-22,22.75,23.0,22.375,22.9375,14.535778,160700
2000-02-23,23.0,23.375,22.5,22.5,14.258532,131700
2000-02-24,22.6875,22.6875,22.0625,22.125,14.02089,143400
2000-02-25,22.3125,22.5,22.125,22.3125,14.139707999999999,482900
2000-02-28,22.625,22.625,22.1875,22.4375,14.218925,179200
2000-02-29,22.1875,22.625,21.8125,21.8125,13.822845999999998,349400
2000-03-01,22.1875,22.625,22.125,22.3125,14.139707999999999,190700
2000-03-02,22.3125,22.9375,22.125,22.375,14.179317000000001,165100
2000-03-03,23.25,23.8125,22.875,22.9375,14.535778,358200
2000-03-06,23.0625,23.25,22.375,22.5,14.258532,187000
