Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,32.46875,32.5,31.0,31.25,19.987106,2140400
2000-01-04,30.5625,31.21875,29.5,29.96875,19.167642999999998,3367000
2000-01-05,29.96875,30.125,29.25,29.375,18.787884,3904600
2000-01-06,29.25,30.90625,28.4375,30.78125,19.687310999999998,6148600
2000-01-07,30.78125,32.34375,30.3125,32.0,20.46681,3995000
2000-01-10,32.0,32.625,31.84375,32.3125,20.666679000000002,2460200
2000-01-11,32.1875,32.21875,31.46875,31.5625,20.186987,2210000
2000-01-12,31.59375,32.75,31.5625,32.28125,20.646694,2532200
2000-01-13,32.09375,32.9375,32.0,32.625,20.86655,2106400
2000-01-14,32.625,32.625,31.5,31.90625,20.406843,3040800
2000-01-18,31.5,31.71875,30.09375,31.375,20.067066,4874600
2000-01-19,31.1875,31.75,30.21875,30.34375,19.40749,3621200
2000-01-20,30.53125,30.65625,29.03125,29.65625,18.967772,3840200
2000-01-21,29.75,30.5,29.03125,30.3125,19.387504999999997,4532400
2000-01-24,31.25,31.875,29.75,30.0,19.187626,5444400
2000-01-25,29.6875,29.8125,28.0,28.4375,18.188274,5178200
2000-01-26,28.4375,29.0,27.6875,28.5,18.228243,4411200
2000-01-27,28.5,28.6875,27.0,27.59375,17.648626,3873800
2000-01-28,27.46875,27.5625,25.75,26.125,16.709227,7165400
2000-01-31,26.3125,26.875,26.15625,26.46875,16.929087,4094800
2000-02-01,26.75,27.0,26.28125,26.84375,17.168928,5269600
2000-02-02,26.9375,27.25,26.59375,26.875,17.188925,3064200
2000-02-03,27.125,27.1875,25.75,26.46875,16.929087,4442000
2000-02-04,26.5,26.75,25.0,25.6875,16.429410999999998,6752800
2000-02-07,25.59375,26.0,25.15625,25.59375,16.36945,7392400
2000-02-08,25.5,25.8125,24.96875,25.5,16.309484,4819600
2000-02-09,25.9375,26.28125,25.25,25.3125,16.189562,5518600
2000-02-10,25.375,25.84375,24.875,25.0625,16.029667,3483600
2000-02-11,25.0625,25.53125,23.78125,24.1875,15.470025,3988000
2000-02-14,24.40625,25.75,24.40625,25.15625,16.08963,4672400
2000-02-15,25.3125,26.4375,24.8125,26.21875,16.76919,6492000
2000-02-16,26.34375,26.9375,26.0,26.0625,16.797394,3866200
2000-02-17,27.0,27.3125,26.0,27.0625,17.441891000000002,3986200
2000-02-18,27.125,27.25,25.9375,26.1875,16.877945,2937000
2000-02-22,26.8125,27.21875,25.65625,26.75,17.240482,2887800
2000-02-23,26.75,27.1875,26.375,26.375,16.998791,3639000
2000-02-24,26.4375,26.5625,25.09375,25.4375,16.394567000000002,4850000
2000-02-25,25.25,25.5625,24.9375,25.03125,16.132746,4349600
2000-02-28,25.375,25.875,25.0,25.53125,16.455004000000002,7077600
2000-02-29,26.0,26.0,25.25,25.46875,16.414710999999997,3241600
2000-03-01,25.46875,25.5625,24.375,25.40625,16.374426,3662800
2000-03-02,25.375,25.6875,24.8125,25.40625,16.374426,3311600
2000-03-03,25.28125,26.46875,25.0,25.90625,16.696673999999998,3196000
2000-03-06,26.15625,26.34375,24.625,25.0,16.112602,3306200
2000-03-07,25.0625,25.78125,24.375,25.25,16.273729,3321600
2000-03-08,25.25,25.25,24.5,24.625,15.870916000000001,3341400
2000-03-09,24.25,24.5,23.25,24.03125,15.488237,4442200
2000-03-10,23.90625,24.75,23.46875,24.4375,15.750070000000001,4031600
2000-03-13,24.25,24.71875,24.09375,24.5,15.790346,2977800
2000-03-14,24.78125,25.3125,24.78125,24.96875,16.092463000000002,4819000
2000-03-15,25.03125,27.75,24.6875,26.9375,17.361324,6193600
2000-03-16,27.4375,28.96875,27.125,28.5,18.368366,6666400
2000-03-17,28.0,29.1875,27.09375,27.3125,17.603014,5387400
2000-03-20,27.3125,28.90625,26.96875,28.0625,18.086393,3508200
2000-03-21,27.875,28.90625,27.625,28.375,18.287806,3442000
2000-03-22,28.75,29.125,27.6875,27.90625,17.985692999999998,5261000
2000-03-23,27.9375,29.1875,27.5,29.1875,18.811464,3499600
2000-03-24,28.75,29.5,28.25,28.53125,18.388504,3298200
2000-03-27,29.4375,29.4375,28.5,28.71875,18.509348000000003,2979600
2000-03-28,28.5,29.125,28.5,28.90625,18.630195999999998,2408800
2000-03-29,28.6875,29.125,28.15625,28.8125,18.569775,2301200
2000-03-30,28.75,31.0,28.75,30.6875,19.778219,4159400
2000-03-31,30.0,32.25,29.875,31.59375,20.362292999999998,5577400
2000-04-03,31.59375,31.9375,29.875,30.9375,19.939341,4282400
2000-04-04,31.5,31.9375,29.78125,31.59375,20.362292999999998,3104000
2000-04-05,31.125,31.375,30.25,30.5,19.657366,2719200
2000-04-06,30.53125,31.3125,30.375,30.75,19.818495000000002,2314200
2000-04-07,30.75,30.9375,30.0,30.46875,19.63723,2466200
2000-04-10,30.46875,32.0,30.375,32.0,20.624129999999997,3665200
2000-04-11,31.4375,32.875,31.34375,32.125,20.704689000000002,4577000
2000-04-12,32.0625,32.625,32.0625,32.125,20.704689000000002,4755200
2000-04-13,32.0625,32.34375,30.40625,30.4375,19.61709,4741400
2000-04-14,28.5625,29.5,28.03125,28.125,18.126676999999997,5061600
2000-04-17,29.0,29.84375,28.8125,29.78125,19.194134,2781000
2000-04-18,29.375,30.1875,28.40625,29.03125,18.710756,2700800
2000-04-19,29.5625,31.21875,29.375,30.5625,19.697653,3027400
2000-04-20,30.0,32.3125,29.9375,32.03125,20.644272,4478000
2000-04-24,32.5,33.0625,32.0,32.4375,20.906098999999998,5185600
2000-04-25,32.5,32.84375,31.65625,32.28125,20.805397,3311000
2000-04-26,32.09375,32.25,30.3125,30.3125,19.536526000000002,3729200
2000-04-27,30.25,31.40625,30.0,31.0,19.979627999999998,2289800
2000-04-28,31.0,31.4375,30.375,31.09375,20.040047,1395200
2000-05-01,30.71875,31.8125,30.5,31.0,19.979627999999998,2307800
2000-05-02,31.21875,31.9375,30.78125,31.375,20.221312,3010000
2000-05-03,30.625,31.09375,30.28125,30.65625,19.75808,1538400
2000-05-04,30.71875,31.125,30.0,30.875,19.899061,3223000
2000-05-05,31.0,32.96875,30.8125,32.65625,21.047087,3386200
2000-05-08,32.53125,33.46875,30.96875,31.125,20.060183,3777400
2000-05-09,31.1875,31.75,30.78125,31.25,20.140745000000003,2408400
2000-05-10,31.46875,31.75,29.5,29.875,19.25456,4306200
2000-05-11,30.8125,32.25,30.6875,31.75,20.462999,2625400
2000-05-12,31.8125,32.4375,31.4375,32.125,20.704689000000002,2420400
2000-05-15,31.75,32.5,31.75,32.03125,20.644272,2277800
2000-05-16,32.4375,33.21875,32.15625,33.09375,21.329045999999998,2178200
2000-05-17,32.875,32.875,32.3125,32.59375,21.134527,2165200
2000-05-18,32.46875,32.9375,32.1875,32.445301,21.038261,1848000
2000-05-19,31.75,31.9375,30.8125,31.1875,20.222687,2161000
2000-05-22,31.5,31.5,30.8125,30.96875,20.080847,3453600
2000-05-23,31.21875,31.21875,30.21875,30.40625,19.716112,3230800
2000-05-24,30.9375,30.9375,29.5,29.9375,19.412153,4726800
2000-05-25,29.9375,29.9375,29.21875,29.6875,19.250042,3716800
2000-05-26,30.0625,30.0625,29.1875,29.46875,19.10821,1678800
2000-05-30,29.34375,29.78125,28.875,29.5,19.128466,3547000
2000-05-31,29.46875,30.6875,29.34375,30.21875,19.594522,2836800
2000-06-01,29.5,30.9375,29.03125,30.84375,19.999784,3278600
2000-06-02,31.40625,32.4375,31.3125,31.5625,20.465845,3129400
2000-06-05,30.5625,30.78125,29.875,30.375,19.695837,2447800
2000-06-06,30.375,30.96875,30.0625,30.78125,19.959255,1887000
2000-06-07,30.8125,31.125,29.9375,30.0,19.452684,1936200
2000-06-08,29.0,29.125,28.0,28.46875,18.459787,7184600
2000-06-09,28.75,29.65625,28.6875,29.34375,19.027153,3856000
2000-06-12,29.375,29.5625,29.125,29.1406,18.895426,1764800
2000-06-13,29.375,29.40625,28.5,28.59375,18.540838,2685600
2000-06-14,29.0,30.125,29.0,29.875,19.371626000000003,3227200
2000-06-15,29.90625,30.875,29.46875,29.8125,19.331101999999998,2175600
2000-06-16,29.5625,30.125,29.09375,29.4375,19.087944,3612800
2000-06-19,29.625,29.65625,28.15625,28.6875,18.601625,4281800
2000-06-20,28.5,28.5625,27.5625,27.8125,18.034254,5452200
2000-06-21,28.5625,28.71875,27.6875,28.4375,18.439516,2787000
2000-06-22,29.0,29.0,27.8125,28.25,18.317944,2640200
2000-06-23,28.25,28.625,27.90625,28.53125,18.500317000000003,1551800
2000-06-26,28.875,29.0,28.25,28.53125,18.500317000000003,1500000
2000-06-27,28.5,29.0625,28.15625,28.25,18.317944,3035600
2000-06-28,28.25,28.84375,28.09375,28.367148999999998,18.393906,2568200
2000-06-29,28.03125,28.0625,27.09375,27.25,17.669525,3472400
2000-06-30,27.46875,29.492148999999998,27.0,29.4375,19.087944,5072200
2000-07-03,28.75,28.78125,27.6875,28.34375,18.378729,1696600
2000-07-05,29.25,29.59375,28.8125,29.375,19.047407,2827400
2000-07-06,29.375,29.5625,28.8125,28.84375,18.702942,2493600
2000-07-07,28.96875,29.46875,28.875,29.375,19.047407,2858200
2000-07-10,29.40625,29.78125,29.125,29.65625,19.229784,2957800
2000-07-11,29.6875,30.03125,29.28125,30.0,19.452684,3401800
2000-07-12,29.59375,30.1875,29.125,30.125,19.533731,3886000
2000-07-13,30.125,30.4375,29.9375,30.25,19.614782,3175200
2000-07-14,30.5,30.875,30.1875,30.5625,19.817419,1695800
2000-07-17,30.4375,30.46875,30.125,30.2656,19.624903,1464800
2000-07-18,30.125,30.125,29.1875,29.5,19.128466,2002200
2000-07-19,30.0,30.21875,28.625,28.75,18.642159,4131200
2000-07-20,28.75,29.0,28.4375,28.6875,18.601625,4198200
2000-07-21,28.6875,29.5,28.6875,29.375,19.047407,3527200
2000-07-24,29.3125,29.75,29.1875,29.53125,19.148731,1684000
2000-07-25,29.5,30.0,29.0625,29.125,18.885315,2336000
2000-07-26,29.25,29.25,28.46875,28.6875,18.601625,2997400
2000-07-27,28.75,29.0625,28.15625,28.75,18.642159,3107800
2000-07-28,28.75,28.875,28.15625,28.71875,18.621893,1991400
2000-07-31,29.0,29.875,28.96875,29.1875,18.925838,1589400
2000-08-01,29.5625,29.75,29.3125,29.625,19.209513,3064800
2000-08-02,29.5625,29.6875,29.03125,29.09375,18.865053,1756200
2000-08-03,29.09375,29.1875,28.40625,28.5625,18.520584,2499600
2000-08-04,28.78125,29.53125,28.5,29.5,19.128466,3432800
2000-08-07,29.75,30.5,29.3125,30.5,19.776892,2939800
2000-08-08,30.46875,30.75,30.0,30.625,19.857944,2569000
2000-08-09,30.875,30.875,30.1875,30.4375,19.736366,2426800
2000-08-10,30.5625,31.125,30.4375,30.5625,19.817419,2821600
2000-08-11,30.65625,30.65625,30.09375,30.375,19.695837,2259800
2000-08-14,30.125,30.5,30.0625,30.46875,19.756622,1361200
