Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,19.625,19.625,18.9375,19.0,8.334297,2738600
2000-01-04,19.0625,19.5,19.0,19.4375,8.526204,425200
2000-01-05,19.4375,20.1875,19.4375,20.1875,8.855189,500200
2000-01-06,20.125,20.125,19.8125,20.0,8.772943,344100
2000-01-07,20.0,20.0,19.875,20.0,8.772943,469500
2000-01-10,20.0625,20.0625,19.875,20.0,8.772943,522000
2000-01-11,19.9375,20.0625,19.9375,20.0,8.772943,557400
2000-01-12,20.0,20.5625,20.0,20.4375,8.964853,410500
2000-01-13,20.375,20.5,20.25,20.375,8.937434,308000
2000-01-14,20.375,20.4375,20.125,20.4375,8.964853,659100
2000-01-18,20.3125,20.3125,19.6875,19.8125,8.690695,843200
2000-01-19,19.75,19.875,19.6875,19.8125,8.690695,578200
2000-01-20,19.8125,19.875,19.5625,19.625,8.608448,566200
2000-01-21,19.625,19.9375,19.625,19.75,8.663281,1021700
2000-01-24,19.75,19.8125,19.625,19.6875,8.635867999999999,649100
2000-01-25,19.6875,19.6875,19.3125,19.5,8.553621000000001,344900
2000-01-26,19.625,19.625,19.0,19.125,8.389126,1137000
2000-01-27,19.25,19.5,19.1875,19.3125,8.471378,493400
2000-01-28,19.3125,19.5,19.25,19.25,8.443957000000001,289700
2000-01-31,19.25,19.375,19.125,19.25,8.443957000000001,526700
2000-02-01,19.375,19.375,19.125,19.25,8.443957000000001,446600
2000-02-02,19.375,19.4375,19.0625,19.0625,8.361713,313200
2000-02-03,19.1875,19.6875,19.1875,19.625,8.608448,483400
2000-02-04,19.625,19.625,19.125,19.3125,8.471378,336400
2000-02-07,19.3125,19.3125,19.0,19.0625,8.361713,348300
2000-02-08,19.0625,19.1875,19.0,19.0625,8.361713,364900
2000-02-09,19.125,19.5,19.0625,19.1875,8.416542,595500
2000-02-10,19.1875,19.3125,18.5625,18.8125,8.252053,503600
2000-02-11,18.9375,18.9375,18.5,18.875,8.279466000000001,554500
2000-02-14,18.8125,18.9375,18.625,18.75,8.224638,374500
